filename,X,Y,Z,R,G,B
15plot,16.3964031581,8.22932995363,7.89214642081,167,0,86
1plot,30.9855840834,19.4512547324,5.15259794776,217,81,59
33plot,3.8359806657,4.03587443946,4.39437479907,65,65,65
41plot,77.6083568855,82.1524263297,81.4756727833,238,235,224
46plot,85.5545231837,90.2335329439,93.927695722,246,244,239
51plot,13.6895083059,9.39111097337,56.267460765,47,81,203
58plot,20.2929151248,20.0591565086,61.6818410582,66,131,209
64plot,40.4758120683,30.9945794121,65.5165523592,192,134,213
6plot,18.4818285232,11.0989865758,4.42506880444,175,58,61
72plot,5.33938944229,9.37855943849,8.61020473918,0,107,85
74plot,29.3161510337,48.3270852907,34.9617404588,60,211,151
84plot,56.3035174191,50.5407421592,5.18941415066,255,174,0
92plot,71.2791872625,75.8080925902,9.06527716361,255,224,0
