filename,X,Y,Z,R,G,B
15plot,16.3964031581,8.22932995363,7.89214642081,4.6705324724,-1.58106970789,2.39800031728
1plot,30.9855840834,19.4512547324,5.15259794776,6.06349074223,2.27239670601,1.65882081809
33plot,3.8359806657,4.03587443946,4.39437479907,1.83180714478,1.83186181825,1.83167125295
41plot,77.6083568855,82.1524263297,81.4756727833,6.6484790866,6.57188435681,6.27382866367
46plot,85.5545231837,90.2335329439,93.927695722,6.87803546699,6.8323280054,6.68303038602
51plot,13.6895083059,9.39111097337,56.267460765,1.31474778845,2.27364744599,5.68635206658
58plot,20.2929151248,20.0591565086,61.6818410582,1.8580092976,3.66066653021,5.84388171385
64plot,40.4758120683,30.9945794121,65.5165523592,5.36779297059,3.74359200362,5.95868494219
6plot,18.4818285232,11.0989865758,4.42506880444,4.8833385356,1.63449644335,1.71084330275
72plot,5.33938944229,9.37855943849,8.61020473918,-18.1777193883,2.99468129162,2.38563601933
74plot,29.3161510337,48.3270852907,34.9617404588,1.67596437522,5.90124826814,4.21949085168
84plot,56.3035174191,50.5407421592,5.18941415066,7.19746443868,4.87536197148,-21.821811821
92plot,71.2791872625,75.8080925902,9.06527716361,7.42197783048,6.2677816776,-24.7108203716
